match_id,team1,team2,winner,venue,date,gender,match_type,overs
1001349,Australia,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,2017-02-17,male,T20,20
1001351,Australia,Sri Lanka,Sri Lanka,"Simonds Stadium, South Geelong",2017-02-19,male,T20,20
1001353,Australia,Sri Lanka,Australia,Adelaide Oval,2017-02-22,male,T20,20
1004729,Ireland,Hong Kong,Hong Kong,"Bready Cricket Club, Magheramason",2016-09-05,male,T20,20
1007655,Zimbabwe,India,Zimbabwe,Harare Sports Club,2016-06-18,male,T20,20
1007657,Zimbabwe,India,India,Harare Sports Club,2016-06-20,male,T20,20
1007659,Zimbabwe,India,India,Harare Sports Club,2016-06-22,male,T20,20
1019979,New Zealand,Bangladesh,New Zealand,McLean Park,2017-01-03,male,T20,20
1019981,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-06,male,T20,20
1019983,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-08,male,T20,20
1020029,New Zealand,South Africa,South Africa,Eden Park,2017-02-17,male,T20,20
1031431,England,South Africa,England,The Rose Bowl,2017-06-21,male,T20,20
1031433,England,South Africa,South Africa,County Ground,2017-06-23,male,T20,20
1031435,England,South Africa,England,Sophia Gardens,2017-06-25,male,T20,20
1031665,West Indies,England,West Indies,Riverside Ground,2017-09-16,male,T20,20
1034825,India,England,England,Green Park,2017-01-26,male,T20,20
1034827,India,England,India,"Vidarbha Cricket Association Stadium, Jamtha",2017-01-29,male,T20,20
1034829,India,England,India,M Chinnaswamy Stadium,2017-02-01,male,T20,20
1041615,India,West Indies,West Indies,Central Broward Regional Park Stadium Turf Ground,2016-08-27,male,T20,20
1041617,India,West Indies,,Central Broward Regional Park Stadium Turf Ground,2016-08-28,male,T20,20
1043989,Australia,New Zealand,Australia,Melbourne Cricket Ground,2017-02-17,female,T20,20
1043991,Australia,New Zealand,New Zealand,"Simonds Stadium, South Geelong",2017-02-19,female,T20,20
1043993,Australia,New Zealand,New Zealand,Adelaide Oval,2017-02-22,female,T20,20
1044211,Sri Lanka,Australia,Australia,Sinhalese Sports Club Ground,2016-09-27,female,T20,20
1050217,Pakistan,West Indies,Pakistan,Dubai International Cricket Stadium,2016-09-23,male,T20,20
1050219,Pakistan,West Indies,Pakistan,Dubai International Cricket Stadium,2016-09-24,male,T20,20
1050221,Pakistan,West Indies,Pakistan,Sheikh Zayed Stadium,2016-09-27,male,T20,20
1050615,New Zealand,Pakistan,New Zealand,Saxton Oval,2016-11-21,female,T20,20
1065348,India,Pakistan,India,Asian Institute of Technology Ground,2016-12-04,female,T20,20
1072316,New Zealand,Australia,Australia,Sydney Cricket Ground,2018-02-03,male,T20,20
1072317,England,Australia,Australia,Bellerive Oval,2018-02-07,male,T20,20
1072318,England,Australia,Australia,Melbourne Cricket Ground,2018-02-10,male,T20,20
1072319,New Zealand,England,New Zealand,Westpac Stadium,2018-02-13,male,T20,20
1072320,New Zealand,Australia,Australia,Eden Park,2018-02-16,male,T20,20
1072321,England,New Zealand,England,Seddon Park,2018-02-18,male,T20,20
1072322,New Zealand,Australia,Australia,Eden Park,2018-02-21,male,T20,20
1074957,Hong Kong,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-14,male,T20,20
1074959,Netherlands,Oman,Netherlands,Sheikh Zayed Stadium,2017-01-15,male,T20,20
1074961,Hong Kong,Oman,Oman,Sheikh Zayed Stadium,2017-01-16,male,T20,20
1074964,Netherlands,Scotland,Scotland,Sheikh Zayed Stadium,2017-01-17,male,T20,20
1074965,United Arab Emirates,Ireland,Ireland,Dubai International Cricket Stadium,2017-01-18,male,T20,20
1074966,Hong Kong,Netherlands,Hong Kong,Dubai International Cricket Stadium,2017-01-18,male,T20,20
1074968,Oman,Scotland,Scotland,Dubai International Cricket Stadium,2017-01-19,male,T20,20
1074970,Ireland,Scotland,Ireland,Dubai International Cricket Stadium,2017-01-20,male,T20,20
1075507,South Africa,Bangladesh,South Africa,Mangaung Oval,2017-10-26,male,T20,20
1075508,South Africa,Bangladesh,South Africa,Senwes Park,2017-10-29,male,T20,20
1077947,West Indies,Pakistan,Pakistan,"Kensington Oval, Bridgetown",2017-03-26,male,T20,20
1077948,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-03-30,male,T20,20
1083449,Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,2017-04-04,male,T20,20
1083450,Sri Lanka,Bangladesh,Bangladesh,R Premadasa Stadium,2017-04-06,male,T20,20
1085495,West Indies,Pakistan,West Indies,"Queen's Park Oval, Port of Spain",2017-04-01,male,T20,20
1085496,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",2017-04-02,male,T20,20
1086067,England,Australia,Australia,North Sydney Oval,2017-11-17,female,T20,20
1086068,England,Australia,England,Manuka Oval,2017-11-19,female,T20,20
1086069,Australia,England,England,Manuka Oval,2017-11-21,female,T20,20
1089202,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-12,male,T20,20
1089203,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20
1089243,United Arab Emirates,Papua New Guinea,United Arab Emirates,Sheikh Zayed Stadium,2017-04-14,male,T20,20
1098211,West Indies,India,West Indies,"Sabina Park, Kingston",2017-07-09,male,T20,20
1109610,Sri Lanka,India,India,"R.Premadasa Stadium, Khettarama",2017-09-06,male,T20,20
1115798,New Zealand,West Indies,New Zealand,Saxton Oval,2017-12-29,male,T20,20
1115799,New Zealand,West Indies,,Bay Oval,2018-01-01,male,T20,20
1115800,New Zealand,West Indies,New Zealand,Bay Oval,2018-01-03,male,T20,20
1115807,Pakistan,New Zealand,New Zealand,Westpac Stadium,2018-01-22,male,T20,20
1115808,Pakistan,New Zealand,Pakistan,Eden Park,2018-01-25,male,T20,20
1115809,Pakistan,New Zealand,Pakistan,Bay Oval,2018-01-28,male,T20,20
1117821,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-12,male,T20,20
1117822,Pakistan,ICC World XI,ICC World XI,Gaddafi Stadium,2017-09-13,male,T20,20
1117824,Pakistan,ICC World XI,Pakistan,Gaddafi Stadium,2017-09-15,male,T20,20
1119501,Australia,India,India,JSCA International Stadium Complex,2017-10-07,male,T20,20
1119502,India,Australia,Australia,Barsapara Cricket Stadium,2017-10-10,male,T20,20
1119542,England,Australia,England,Edgbaston,2018-06-27,male,T20,20
1119543,England,India,India,Old Trafford,2018-07-03,male,T20,20
1119544,India,England,England,Sophia Gardens,2018-07-06,male,T20,20
1119545,England,India,India,County Ground,2018-07-08,male,T20,20
1120093,India,New Zealand,India,Arun Jaitley Stadium,2017-11-01,male,T20,20
1120094,New Zealand,India,New Zealand,Saurashtra Cricket Association Stadium,2017-11-04,male,T20,20
1120095,India,New Zealand,India,Greenfield International Stadium,2017-11-07,male,T20,20
1120291,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-26,male,T20,20
1120292,Sri Lanka,Pakistan,Pakistan,Sheikh Zayed Stadium,2017-10-27,male,T20,20
1120293,Pakistan,Sri Lanka,Pakistan,Gaddafi Stadium,2017-10-29,male,T20,20
1122285,India,South Africa,India,The Wanderers Stadium,2018-02-18,male,T20,20
1122286,India,South Africa,South Africa,SuperSport Park,2018-02-21,male,T20,20
1122287,India,South Africa,India,Newlands,2018-02-24,male,T20,20
1122729,India,Sri Lanka,India,Barabati Stadium,2017-12-20,male,T20,20
1122730,India,Sri Lanka,India,Holkar Cricket Stadium,2017-12-22,male,T20,20
1122731,Sri Lanka,India,India,Wankhede Stadium,2017-12-24,male,T20,20
1122902,West Indies,Sri Lanka,West Indies,Coolidge Cricket Ground,2017-10-21,female,T20,20
1122908,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-09,female,T20,20
1122909,New Zealand,Pakistan,New Zealand,Sharjah Cricket Stadium,2017-11-12,female,T20,20
1122910,Pakistan,New Zealand,New Zealand,Sharjah Cricket Stadium,2017-11-14,female,T20,20
1123206,South Africa,India,India,Senwes Park,2018-02-13,female,T20,20
1123207,South Africa,India,India,Buffalo Park,2018-02-16,female,T20,20
1123208,India,South Africa,South Africa,The Wanderers Stadium,2018-02-18,female,T20,20
1123209,South Africa,India,,SuperSport Park,2018-02-21,female,T20,20
1123210,India,South Africa,India,Newlands,2018-02-24,female,T20,20
1126720,New Zealand,South Africa,New Zealand,The Cooper Associates County Ground,2018-06-20,female,T20,20
1126721,England,South Africa,England,The Cooper Associates County Ground,2018-06-20,female,T20,20
1126722,England,South Africa,South Africa,The Cooper Associates County Ground,2018-06-23,female,T20,20
1126723,England,New Zealand,England,The Cooper Associates County Ground,2018-06-23,female,T20,20
1126724,South Africa,New Zealand,New Zealand,County Ground,2018-06-28,female,T20,20
1126725,New Zealand,England,England,County Ground,2018-06-28,female,T20,20
1126726,New Zealand,England,England,County Ground,2018-07-01,female,T20,20
1127300,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-12,male,T20,20
1127301,Pakistan,Scotland,Pakistan,"Grange Cricket Club, Raeburn Place",2018-06-13,male,T20,20
1130746,Bangladesh,Sri Lanka,Sri Lanka,"Shere Bangla National Stadium, Mirpur",2018-02-15,male,T20,20
1130747,Sri Lanka,Bangladesh,Sri Lanka,Sylhet International Cricket Stadium,2018-02-18,male,T20,20
1131235,India,Australia,Australia,Brabourne Stadium,2018-03-22,female,T20,20
1131236,Australia,England,England,Brabourne Stadium,2018-03-23,female,T20,20
1131237,India,England,England,Brabourne Stadium,2018-03-25,female,T20,20
1131238,Australia,India,Australia,Brabourne Stadium,2018-03-26,female,T20,20
1131239,England,Australia,Australia,Brabourne Stadium,2018-03-28,female,T20,20
1131240,England,India,India,Brabourne Stadium,2018-03-29,female,T20,20
1131241,Australia,England,Australia,Brabourne Stadium,2018-03-31,female,T20,20
1133817,India,Sri Lanka,Sri Lanka,"R.Premadasa Stadium, Khettarama",2018-03-06,male,T20,20
1133818,Bangladesh,India,India,"R.Premadasa Stadium, Khettarama",2018-03-08,male,T20,20
1133819,Sri Lanka,Bangladesh,Bangladesh,"R.Premadasa Stadium, Khettarama",2018-03-10,male,T20,20
1133820,Sri Lanka,India,India,"R.Premadasa Stadium, Khettarama",2018-03-12,male,T20,20
1133821,India,Bangladesh,India,"R.Premadasa Stadium, Khettarama",2018-03-14,male,T20,20
1133822,Sri Lanka,Bangladesh,Bangladesh,"R.Premadasa Stadium, Khettarama",2018-03-16,male,T20,20
1133823,Bangladesh,India,India,"R.Premadasa Stadium, Khettarama",2018-03-18,male,T20,20
1138194,New Zealand,West Indies,New Zealand,Bay Oval,2018-03-14,female,T20,20
1138195,New Zealand,West Indies,New Zealand,Bay Oval,2018-03-16,female,T20,20
1138196,New Zealand,West Indies,New Zealand,Pukekura Park,2018-03-20,female,T20,20
1138198,West Indies,New Zealand,New Zealand,Seddon Park,2018-03-25,female,T20,20
