batter,batting_team,total_runs,balls_faced,wickets_lost,strike_rate,form_score
A Adekunle,Nigeria,19,45,5,42.22222222222222,25.502222222222223
A Ahmadhel,Bulgaria,8,27,5,29.629629629629626,17.896296296296292
A Aikenhead,Jersey,226,285,14,79.2982456140351,47.8961403508772
A Aitken,Scotland,7,18,0,38.88888888888889,23.48888888888889
A Aitken-Drummond,Scotland,162,207,14,78.26086956521739,47.2695652173913
A Akhigbe,Nigeria,81,125,10,64.8,39.139199999999995
A Akurut,Uganda,4,21,4,19.047619047619047,11.504761904761905
A Alexander,Indonesia,50,35,5,142.85714285714286,86.28571428571428
A Alfonso,Malawi,18,47,4,38.297872340425535,23.131914893617022
A Amado,Israel,19,28,3,67.85714285714286,40.98571428571429
A Andrews,Switzerland,4,6,1,66.66666666666666,40.26666666666666
A Andriani,Indonesia,38,35,3,108.57142857142857,65.57714285714286
A Argyropoulou,Greece,232,388,19,59.79381443298969,36.11546391752577
A Ashokan,Czech Republic,572,525,19,108.95238095238096,65.8072380952381
A Athanaze,West Indies,326,263,13,123.95437262357414,74.86844106463879
A Augastin,Tanzania,170,166,9,102.40963855421687,61.855421686746986
A Awasthi,Croatia,11,55,4,20.0,12.08
A Bagai,Canada,165,157,4,105.09554140127389,63.47770700636943
A Balbirnie,Ireland,2028,1682,88,120.57074910820451,72.82473246135552
A Beresford-Peirse,Croatia,84,128,7,65.625,39.6375
A Bester,France,61,91,8,67.03296703296702,40.48791208791208
A Bhadauria,Luxembourg,40,32,2,125.0,75.5
A Bhagwat,Hong Kong,2,9,3,22.22222222222222,13.42222222222222
A Bhargava,Singapore,7,7,1,100.0,60.4
A Bhattarai,Nepal,2,3,1,66.66666666666666,40.26666666666666
A Bierwisch,Germany,153,310,14,49.354838709677416,29.81032258064516
A Bishnoi,Malta,11,23,4,47.82608695652174,28.88695652173913
A Bohara,Nepal,23,34,7,67.64705882352942,40.85882352941177
A Bosch,South Africa,910,845,35,107.6923076923077,65.04615384615384
A Bose,Kuwait,11,40,4,27.500000000000004,16.61
A Brindle,England,256,266,12,96.2406015037594,58.12932330827067
A Brown-Carrera,Spain,36,71,6,50.70422535211267,30.62535211267605
A Bulow,Denmark,11,13,1,84.61538461538461,51.107692307692304
A Bushell,Guernsey,13,22,2,59.09090909090909,35.69090909090909
A Busing-Volschenk,Namibia,26,17,2,152.94117647058823,92.37647058823529
A Canning,Ireland,60,77,12,77.92207792207793,47.06493506493507
A Capsey,England,741,655,36,113.1297709923664,68.3303816793893
A Cespedes,Costa Rica,1,16,2,6.25,3.775
A Chandel,Japan,343,569,22,60.28119507908612,36.40984182776802
A Charles,Croatia,1,5,1,20.0,12.08
A Chaubey,Croatia,14,21,4,66.66666666666666,40.26666666666666
A Chaudhary,Singapore,42,45,4,93.33333333333333,56.37333333333333
A Chenthamara,Kuwait,3,11,0,27.27272727272727,16.47272727272727
A Chilia,Vanuatu,126,232,13,54.310344827586206,32.80344827586207
A Conteh,Gambia,35,58,6,60.3448275862069,36.44827586206896
A Cossa,Mozambique,25,44,5,56.81818181818182,34.31818181818182
A Curavic,Croatia,5,20,3,25.0,15.1
A Dananjaya,Sri Lanka,61,76,8,80.26315789473685,48.47894736842106
A Das,India,7,14,3,50.0,30.2
A Dastgir,Norway,0,2,1,0.0,0.0
A Davidson Soler,Spain,137,130,5,105.38461538461539,63.65230769230769
A Davidson-Soler,Spain,126,155,6,81.29032258064515,49.09935483870967
A Daxini,Croatia,11,24,3,45.83333333333333,27.68333333333333
A Dcosta,Oman,49,81,9,60.49382716049383,36.538271604938274
A Dercksen,South Africa,216,189,14,114.28571428571428,69.02857142857142
A Dhabe,Sweden,32,44,3,72.72727272727273,43.92727272727273
A Dhingra,Luxembourg,8,8,2,100.0,60.4
A Dineshi,Romania,2,18,3,11.11111111111111,6.71111111111111
A Dirannehelage,Cyprus,158,255,4,61.96078431372549,37.424313725490194
A Dizija,Serbia,601,559,25,107.5134168157424,64.9381037567084
A Djorovic,Serbia,27,48,2,56.25,33.975
A Doddaballapur,Germany,318,486,17,65.4320987654321,39.52098765432099
A Donovan,Philippines,357,226,8,157.9646017699115,95.41061946902654
A Dowling,Bulgaria,2,4,1,50.0,30.2
A Dutt,Netherlands,114,117,8,97.43589743589743,58.85128205128204
A Emch,Argentina,0,2,0,0.0,0.0
A Faletar,Croatia,0,2,1,0.0,0.0
A Ferguson,Argentina,425,478,13,88.91213389121339,53.70292887029289
A Fillie,Sierra Leone,3,13,3,23.076923076923077,13.938461538461537
A Flintoff,England,76,62,5,122.58064516129032,74.03870967741935
A Fujikawa,Japan,70,109,4,64.22018348623854,38.788990825688074
