batter,batting_team,opponent,total_runs,balls_faced,strike_rate,form_score
A Adekunle,Nigeria,Brazil,6,9,66.66666666666666,46.86666666666666
A Adekunle,Nigeria,Kenya,0,2,0.0,0.0
A Adekunle,Nigeria,Namibia,1,6,16.666666666666664,11.716666666666665
A Adekunle,Nigeria,Rwanda,0,4,0.0,0.0
A Adekunle,Nigeria,Tanzania,5,3,166.66666666666669,117.16666666666667
A Adekunle,Nigeria,Uganda,6,19,31.57894736842105,22.2
A Adekunle,Nigeria,Zimbabwe,1,2,50.0,35.15
A Ahmadhel,Bulgaria,Luxembourg,4,6,66.66666666666666,46.86666666666666
A Ahmadhel,Bulgaria,Malta,2,13,15.384615384615385,10.815384615384614
A Ahmadhel,Bulgaria,Romania,2,8,25.0,17.575
A Aikenhead,Jersey,France,0,3,0.0,0.0
A Aikenhead,Jersey,Germany,13,23,56.52173913043478,39.734782608695646
A Aikenhead,Jersey,Gibraltar,37,52,71.15384615384616,50.021153846153844
A Aikenhead,Jersey,Guernsey,12,7,171.42857142857142,120.5142857142857
A Aikenhead,Jersey,Isle of Man,19,26,73.07692307692307,51.373076923076916
A Aikenhead,Jersey,Italy,30,42,71.42857142857143,50.214285714285715
A Aikenhead,Jersey,Netherlands,12,26,46.15384615384615,32.44615384615385
A Aikenhead,Jersey,Spain,32,37,86.48648648648648,60.79999999999999
A Aikenhead,Jersey,Sweden,71,69,102.89855072463767,72.33768115942027
A Aitken,Scotland,Bangladesh,7,18,38.88888888888889,27.338888888888892
A Aitken-Drummond,Scotland,Bangladesh,5,6,83.33333333333334,58.583333333333336
A Aitken-Drummond,Scotland,Ireland,60,92,65.21739130434783,45.84782608695652
A Aitken-Drummond,Scotland,Kenya,21,16,131.25,92.26875
A Aitken-Drummond,Scotland,Malaysia,43,37,116.21621621621621,81.69999999999999
A Aitken-Drummond,Scotland,Netherlands,17,27,62.96296296296296,44.26296296296296
A Aitken-Drummond,Scotland,Papua New Guinea,14,22,63.63636363636363,44.73636363636363
A Aitken-Drummond,Scotland,Sri Lanka,2,7,28.57142857142857,20.085714285714282
A Akhigbe,Nigeria,Botswana,13,12,108.33333333333333,76.15833333333333
A Akhigbe,Nigeria,Brazil,3,9,33.33333333333333,23.43333333333333
A Akhigbe,Nigeria,Cameroon,1,2,50.0,35.15
A Akhigbe,Nigeria,Kenya,10,7,142.85714285714286,100.42857142857143
A Akhigbe,Nigeria,Rwanda,41,75,54.666666666666664,38.43066666666667
A Akhigbe,Nigeria,Sierra Leone,2,8,25.0,17.575
A Akhigbe,Nigeria,Tanzania,0,1,0.0,0.0
A Akhigbe,Nigeria,Uganda,11,11,100.0,70.3
A Akurut,Uganda,Botswana,1,4,25.0,17.575
A Akurut,Uganda,Cameroon,0,3,0.0,0.0
A Akurut,Uganda,Malawi,2,6,33.33333333333333,23.43333333333333
A Akurut,Uganda,Nigeria,1,7,14.285714285714285,10.042857142857141
A Akurut,Uganda,Rwanda,0,1,0.0,0.0
A Alexander,Indonesia,Bahrain,5,9,55.55555555555556,39.05555555555555
A Alexander,Indonesia,Cambodia,31,14,221.42857142857144,155.6642857142857
A Alexander,Indonesia,Malaysia,0,1,0.0,0.0
A Alexander,Indonesia,Philippines,9,9,100.0,70.3
A Alexander,Indonesia,Timor-Leste,5,2,250.0,175.75
A Alfonso,Malawi,Botswana,1,7,14.285714285714285,10.042857142857141
A Alfonso,Malawi,Brazil,5,4,125.0,87.875
A Alfonso,Malawi,Kenya,11,22,50.0,35.15
A Alfonso,Malawi,Rwanda,0,5,0.0,0.0
A Alfonso,Malawi,Uganda,1,9,11.11111111111111,7.81111111111111
A Amado,Israel,Malta,3,8,37.5,26.3625
A Amado,Israel,Spain,16,20,80.0,56.24
A Andrews,Switzerland,France,4,6,66.66666666666666,46.86666666666666
A Andriani,Indonesia,Bahrain,0,3,0.0,0.0
A Andriani,Indonesia,Cook Islands,2,3,66.66666666666666,46.86666666666666
A Andriani,Indonesia,Malaysia,1,5,20.0,14.06
A Andriani,Indonesia,Samoa,34,21,161.9047619047619,113.8190476190476
A Andriani,Indonesia,United Arab Emirates,1,3,33.33333333333333,23.43333333333333
A Argyropoulou,Greece,Bulgaria,68,84,80.95238095238095,56.9095238095238
A Argyropoulou,Greece,Germany,20,53,37.735849056603776,26.528301886792452
A Argyropoulou,Greece,Isle of Man,55,86,63.95348837209303,44.9593023255814
A Argyropoulou,Greece,Romania,10,28,35.714285714285715,25.107142857142858
A Argyropoulou,Greece,Serbia,23,43,53.48837209302325,37.60232558139534
A Argyropoulou,Greece,Spain,33,53,62.264150943396224,43.77169811320754
A Argyropoulou,Greece,Turkey,23,41,56.09756097560976,39.43658536585366
A Ashokan,Czech Republic,Austria,123,97,126.8041237113402,89.14329896907215
A Ashokan,Czech Republic,Belgium,23,30,76.66666666666667,53.89666666666666
A Ashokan,Czech Republic,Bulgaria,9,13,69.23076923076923,48.66923076923076
A Ashokan,Czech Republic,Estonia,31,31,100.0,70.3
A Ashokan,Czech Republic,France,22,24,91.66666666666666,64.44166666666666
A Ashokan,Czech Republic,Gibraltar,19,19,100.0,70.3
A Ashokan,Czech Republic,Hungary,129,140,92.14285714285714,64.77642857142857
A Ashokan,Czech Republic,Luxembourg,55,48,114.58333333333333,80.55208333333333
A Ashokan,Czech Republic,Malta,30,18,166.66666666666669,117.16666666666667
A Ashokan,Czech Republic,Romania,100,82,121.95121951219512,85.73170731707316
A Ashokan,Czech Republic,Switzerland,31,23,134.7826086956522,94.75217391304349
A Athanaze,West Indies,Bangladesh,87,71,122.53521126760563,86.14225352112675
A Athanaze,West Indies,New Zealand,102,84,121.42857142857142,85.3642857142857
A Athanaze,West Indies,Pakistan,62,44,140.9090909090909,99.0590909090909
A Athanaze,West Indies,South Africa,75,64,117.1875,82.3828125
A Augastin,Tanzania,Bahrain,71,49,144.89795918367346,101.86326530612244
A Augastin,Tanzania,Botswana,17,29,58.620689655172406,41.2103448275862
A Augastin,Tanzania,Germany,58,51,113.72549019607843,79.94901960784313
A Augastin,Tanzania,Kenya,4,6,66.66666666666666,46.86666666666666
A Augastin,Tanzania,Namibia,11,14,78.57142857142857,55.23571428571428
