match_id,team1,team2,winner,venue,date,gender,match_type,overs,team,team_score,opponent,won_toss,batting_first
1001349,Australia,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,2017-02-17,male,T20,20,Australia,161,Sri Lanka,0,1
1001349,Australia,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,2017-02-17,male,T20,20,Sri Lanka,159,Australia,1,0
1001351,Australia,Sri Lanka,Sri Lanka,"Simonds Stadium, South Geelong",2017-02-19,male,T20,20,Australia,165,Sri Lanka,0,1
1001351,Australia,Sri Lanka,Sri Lanka,"Simonds Stadium, South Geelong",2017-02-19,male,T20,20,Sri Lanka,169,Australia,1,0
1001353,Australia,Sri Lanka,Australia,Adelaide Oval,2017-02-22,male,T20,20,Australia,179,Sri Lanka,1,1
1001353,Australia,Sri Lanka,Australia,Adelaide Oval,2017-02-22,male,T20,20,Sri Lanka,137,Australia,0,0
1004729,Ireland,Hong Kong,Hong Kong,"Bready Cricket Club, Magheramason",2016-09-05,male,T20,20,Hong Kong,159,Ireland,1,1
1004729,Ireland,Hong Kong,Hong Kong,"Bready Cricket Club, Magheramason",2016-09-05,male,T20,20,Ireland,116,Hong Kong,0,0
1007655,Zimbabwe,India,Zimbabwe,Harare Sports Club,2016-06-18,male,T20,20,India,155,Zimbabwe,0,1
1007655,Zimbabwe,India,Zimbabwe,Harare Sports Club,2016-06-18,male,T20,20,Zimbabwe,161,India,1,0
1007657,Zimbabwe,India,India,Harare Sports Club,2016-06-20,male,T20,20,India,99,Zimbabwe,1,1
1007657,Zimbabwe,India,India,Harare Sports Club,2016-06-20,male,T20,20,Zimbabwe,90,India,0,0
1007659,Zimbabwe,India,India,Harare Sports Club,2016-06-22,male,T20,20,India,134,Zimbabwe,1,1
1007659,Zimbabwe,India,India,Harare Sports Club,2016-06-22,male,T20,20,Zimbabwe,123,India,0,0
1019979,New Zealand,Bangladesh,New Zealand,McLean Park,2017-01-03,male,T20,20,Bangladesh,123,New Zealand,0,1
1019979,New Zealand,Bangladesh,New Zealand,McLean Park,2017-01-03,male,T20,20,New Zealand,140,Bangladesh,1,0
1019981,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-06,male,T20,20,Bangladesh,133,New Zealand,0,1
1019981,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-06,male,T20,20,New Zealand,187,Bangladesh,1,0
1019983,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-08,male,T20,20,Bangladesh,163,New Zealand,0,1
1019983,New Zealand,Bangladesh,New Zealand,Bay Oval,2017-01-08,male,T20,20,New Zealand,178,Bangladesh,1,0
1020029,New Zealand,South Africa,South Africa,Eden Park,2017-02-17,male,T20,20,New Zealand,104,South Africa,0,1
1020029,New Zealand,South Africa,South Africa,Eden Park,2017-02-17,male,T20,20,South Africa,174,New Zealand,1,0
1031431,England,South Africa,England,The Rose Bowl,2017-06-21,male,T20,20,England,135,South Africa,1,1
1031431,England,South Africa,England,The Rose Bowl,2017-06-21,male,T20,20,South Africa,141,England,0,0
1031433,England,South Africa,South Africa,County Ground,2017-06-23,male,T20,20,England,156,South Africa,0,1
1031433,England,South Africa,South Africa,County Ground,2017-06-23,male,T20,20,South Africa,169,England,1,0
1031435,England,South Africa,England,Sophia Gardens,2017-06-25,male,T20,20,England,167,South Africa,1,1
1031435,England,South Africa,England,Sophia Gardens,2017-06-25,male,T20,20,South Africa,150,England,0,0
1031665,West Indies,England,West Indies,Riverside Ground,2017-09-16,male,T20,20,England,146,West Indies,0,1
1031665,West Indies,England,West Indies,Riverside Ground,2017-09-16,male,T20,20,West Indies,168,England,1,0
1034825,India,England,England,Green Park,2017-01-26,male,T20,20,England,140,India,1,1
1034825,India,England,England,Green Park,2017-01-26,male,T20,20,India,136,England,0,0
1034827,India,England,India,"Vidarbha Cricket Association Stadium, Jamtha",2017-01-29,male,T20,20,England,131,India,0,1
1034827,India,England,India,"Vidarbha Cricket Association Stadium, Jamtha",2017-01-29,male,T20,20,India,140,England,1,0
1034829,India,England,India,M Chinnaswamy Stadium,2017-02-01,male,T20,20,England,122,India,0,1
1034829,India,England,India,M Chinnaswamy Stadium,2017-02-01,male,T20,20,India,186,England,1,0
1041615,India,West Indies,West Indies,Central Broward Regional Park Stadium Turf Ground,2016-08-27,male,T20,20,India,238,West Indies,0,1
1041615,India,West Indies,West Indies,Central Broward Regional Park Stadium Turf Ground,2016-08-27,male,T20,20,West Indies,239,India,1,0
1041617,India,West Indies,,Central Broward Regional Park Stadium Turf Ground,2016-08-28,male,T20,20,India,14,West Indies,0,1
1041617,India,West Indies,,Central Broward Regional Park Stadium Turf Ground,2016-08-28,male,T20,20,West Indies,134,India,0,0
1043989,Australia,New Zealand,Australia,Melbourne Cricket Ground,2017-02-17,female,T20,20,Australia,142,New Zealand,1,1
