venue,avg_first_innings_score,matches_played
"7he Sevens Stadium, Dubai",77.5,2
AMI Stadium,163.83333333333334,6
"Achimota Senior Secondary School A Field, Accra",98.0625,32
"Achimota Senior Secondary School B Field, Accra",94.47058823529412,17
Adelaide Oval,142.03225806451613,31
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),125.34210526315789,266
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),115.9090909090909,88
"Albert Park 1, Suva",100.08333333333333,24
"Albert Park 2, Suva",93.94444444444444,18
Albertslund Cricket Club,77.9,10
Allan Border Field,124.875,8
"Allan Border Field, Brisbane",149.5,4
Amini Park,93.66666666666667,12
"Amini Park, Port Moresby",93.26470588235294,34
"Arnos Vale Ground, Kingstown",133.5,4
"Arnos Vale Ground, Kingstown, St Vincent",119.16666666666667,12
Arun Jaitley Stadium,156.0,4
"Arun Jaitley Stadium, Delhi",183.5,4
Arundel Castle Cricket Club Ground,136.5,2
Asian Institute of Technology Ground,70.0,24
"Asian Institute of Technology Ground, Bangkok",78.03125,32
"Ballpark Ground, Graz",115.75,4
Barabati Stadium,106.75,4
"Barabati Stadium, Cuttack",130.5,4
Barsapara Cricket Stadium,112.75,8
"Barsapara Cricket Stadium, Guwahati",211.0,4
Basin Reserve,137.25,4
"Basin Reserve, Wellington",138.75,4
Bay Oval,149.1818181818182,22
"Bay Oval, Mount Maunganui",135.5,18
Bayer Uerdingen Cricket Ground,109.73333333333333,90
"Bayuemas Oval, Kuala Lumpur",92.25396825396825,189
"Beausejour Stadium, Gros Islet",138.46666666666667,30
"Belgrano Athletic Club Ground, Buenos Aires",121.7,20
Bellerive Oval,167.33333333333334,6
"Bellerive Oval, Hobart",135.14285714285714,28
Bermuda National Stadium,129.0,2
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,134.375,8
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",127.75,4
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",143.75,12
Boland Bank Park,91.0,2
Boland Park,136.0,4
"Boland Park, Paarl",115.57142857142857,14
"Botkyrka Cricket Center, Stockholm",131.33333333333334,12
Botswana Cricket Association Oval 1,68.9375,16
"Botswana Cricket Association Oval 1, Gaborone",68.56862745098039,102
Botswana Cricket Association Oval 2,60.625,8
"Botswana Cricket Association Oval 2, Gaborone",71.15625,64
Brabourne Stadium,145.4375,16
"Brabourne Stadium, Mumbai",164.33333333333334,6
Bready,164.5,2
"Bready Cricket Club, Magheramason",119.375,8
"Bready Cricket Club, Magheramason, Bready",114.70588235294117,17
"Brian Lara Stadium, Tarouba",125.16666666666667,6
"Brian Lara Stadium, Tarouba, Trinidad",129.8,20
"Brisbane Cricket Ground, Woolloongabba",148.6,10
"Brisbane Cricket Ground, Woolloongabba, Brisbane",127.9090909090909,11
Buffalo Park,149.0,8
"Buffalo Park, East London",109.0,18
Bulawayo Athletic Club,131.77777777777777,18
Carrara Oval,121.54545454545455,11
"Castle Avenue, Dublin",152.64285714285714,14
"Cazaly's Stadium, Cairns",165.5,2
Central Broward Regional Park Stadium Turf Ground,124.20833333333333,24
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",147.1,20
"Centre for Cricket Development Ground, Windhoek",80.9,20
Chilaw Marians Cricket Club Ground,117.5,2
City Oval,129.5,4
"Civil Service Cricket Club, Stormont",94.35714285714286,14
"Civil Service Cricket Club, Stormont, Belfast",122.44444444444444,18
"Clayton Panama, Panama City",90.14285714285714,14
"Clontarf Cricket Club Ground, Dublin",147.0,6
College Field,107.7,10
"College Field, St Peter Port",152.0,2
Colombo Cricket Club Ground,125.25,4
Colts Cricket Club Ground,72.0,5
Coolidge Cricket Ground,122.5,2
"Coolidge Cricket Ground, Antigua",120.125,24
County Ground,125.57407407407408,54
"County Ground, Bristol",168.5,12
"County Ground, Chelmsford",127.5,10
"County Ground, Derby",132.0,6
"County Ground, Hove",101.91666666666667,12
"County Ground, New Road, Worcester",142.5,2
"County Ground, Northampton",106.0,4
"Daren Sammy National Cricket Stadium, Gros Islet",91.625,16
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",147.19354838709677,31
"Darren Sammy National Cricket Stadium, St Lucia",126.0,6
De Beers Diamond Oval,182.0,2
Desert Springs Cricket Ground,134.25,4
"Desert Springs Cricket Ground, Almeria",101.48780487804878,82
"Diamond Oval, Kimberley",60.666666666666664,3
"Dr DY Patil Sports Academy, Mumbai",149.3,10
"Dr DY Patil Sports Academy, Navi Mumbai",165.0,6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,99.25,4
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",145.875,8
Dreux Sport Cricket Club,123.57142857142857,14
Dubai International Cricket Stadium,124.83636363636364,220
Eden Gardens,126.92857142857143,14
"Eden Gardens, Kolkata",148.9,10
Eden Park,145.13725490196077,51
